"Source:","/Volumes/Stock/jojo/Documents/GitHub/Yusynth-SteinerParkerVCF/SteinerParkerVCF/YuSynth-SteinerParkerVCF.kicad_sch"
"Date:","Vendredi 20 octobre 2023 à 15:00:06"
"Tool:","Eeschema (6.0.11-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","80"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet_1","Footprint_1","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Value_1"
"","","1111","SR1712F-0204-20F0A-N9-N-027","Alpha_Rotary_SW:SR1712F-0204-20F0A-N9-N-027","Button_Switch_THT:SR1712F020420F0AN9N027","","https://componentsearchengine.com/Datasheets/1/SR1712F-0204-20F0A-N9-N-027.pdf","SR1712F020420F0AN9N027","27.5","Alpha (Taiwan)","SR1712F-0204-20F0A-N9-N-027","105-SR1712F-24NS","https://www.mouser.co.uk/ProductDetail/Alpha-Taiwan/SR1712F-0204-20F0A-N9-N-027?qs=8%252Br4Hz5Xir8jgfyVwPHVzQ%3D%3D","S","Rotary-SW"
"","","C1","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","",""
"","","C2","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","",""
"","","C3","2.2uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","",""
"","","C4","2.2uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","",""
"","","C5","1.5nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~","","","","","","","","",""
"","","C6","47uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","",""
"","","C7","1.5nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~","","","","","","","","",""
"","","C8","680nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~","","","","","","","","",""
"","","C9","47uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","",""
"","","C10","1.5nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~","","","","","","","","",""
"","","C13","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","",""
"","","C14","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","",""
"","","C15","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","",""
"","","C16","47uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","",""
"","","D1","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","",""
"","","D2","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","",""
"","","D3","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","",""
"","","D4","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","",""
"","","D5","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","",""
"","","D6","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","",""
